trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2017/5/15,SPF,2389,2391.25,1.25,0.05%,471,2391.25,37,201706
2017/5/15,SPF,2387.25,2388.25,0.25,0.01%,138,2388.25,8,201709
2017/5/15,SPF,2386,2386,0,0.00%,92,2386,0,201712
2017/5/15,SPF,-,-,-,-,0,2386.25,0,201803
2017/5/15,SPF,-,-,-,-,0,2387.25,0,201806
2017/5/16,SPF,2399.5,2397.25,6,0.25%,179,2397.25,58,201706
2017/5/16,SPF,2396.25,2395,6.75,0.28%,12,2395,22,201709
2017/5/16,SPF,-,-,-,-,0,2392,0,201712
2017/5/16,SPF,-,-,-,-,0,2392.25,0,201803
2017/5/16,SPF,-,-,-,-,0,2393.25,0,201806
2017/5/17,SPF,2388.75,2384,-13.25,-0.55%,79,2384,103,201706
2017/5/17,SPF,2380.75,2380.75,-14.25,-0.59%,1,2380.75,24,201709
2017/5/17,SPF,-,-,-,-,0,2378.75,0,201712
2017/5/17,SPF,-,-,-,-,0,2379,0,201803
2017/5/17,SPF,-,-,-,-,0,2380,0,201806
2017/5/18,SPF,2358.5,2361.5,-22.5,-0.94%,260,2361.5,254,201706
2017/5/18,SPF,2359.75,2359.25,-21.5,-0.90%,33,2359.25,53,201709
2017/5/18,SPF,-,-,-,-,0,2356.25,0,201712
2017/5/18,SPF,2342.75,2342.75,-36.25,-1.52%,1,2352.25,1,201803
2017/5/18,SPF,2332.75,2332.75,-47.25,-1.99%,1,2347.25,1,201806
2017/5/19,SPF,2364,2364,2.5,0.11%,45,2364,293,201706
2017/5/19,SPF,2357,2359.5,0.25,0.01%,4,2361.25,54,201709
2017/5/19,SPF,-,-,-,-,0,2358.75,0,201712
2017/5/19,SPF,-,-,-,-,0,2354.75,1,201803
2017/5/19,SPF,-,-,-,-,0,2349.75,1,201806
2017/5/22,SPF,2380,2383.75,19.75,0.84%,24,2383.75,328,201706
2017/5/22,SPF,2379.25,2380,18.75,0.79%,2,2380,55,201709
2017/5/22,SPF,-,-,-,-,0,2378.5,0,201712
2017/5/22,SPF,-,-,-,-,0,2374.5,1,201803
2017/5/22,SPF,-,-,-,-,0,2369.5,1,201806
2017/5/23,SPF,2389.75,2389.5,5.75,0.24%,21,2389.5,369,201706
2017/5/23,SPF,2386.75,2386.75,6.75,0.28%,3,2386.75,58,201709
2017/5/23,SPF,-,-,-,-,0,2384.25,0,201712
2017/5/23,SPF,-,-,-,-,0,2380.25,1,201803
2017/5/23,SPF,-,-,-,-,0,2375.25,1,201806
2017/5/24,SPF,2395.75,2396,6.5,0.27%,16,2396,402,201706
2017/5/24,SPF,-,-,-,-,0,2393.25,86,201709
2017/5/24,SPF,-,-,-,-,0,2390.75,0,201712
2017/5/24,SPF,-,-,-,-,0,2386.75,1,201803
2017/5/24,SPF,-,-,-,-,0,2381.75,1,201806
2017/5/25,SPF,2404,2410,14,0.58%,166,2410,485,201706
2017/5/25,SPF,2400,2405.25,12,0.50%,57,2408.25,103,201709
2017/5/25,SPF,-,-,-,-,0,2404.75,0,201712
2017/5/25,SPF,-,-,-,-,0,2400.75,1,201803
2017/5/25,SPF,-,-,-,-,0,2395.75,1,201806
2017/5/26,SPF,2416.5,2411.5,1.5,0.06%,27,2411.5,483,201706
2017/5/26,SPF,-,-,-,-,0,2409.75,103,201709
2017/5/26,SPF,-,-,-,-,0,2406.25,0,201712
2017/5/26,SPF,-,-,-,-,0,2402.25,1,201803
2017/5/26,SPF,-,-,-,-,0,2397.25,1,201806
2017/5/31,SPF,2412,2411.25,-0.25,-0.01%,41,2411.25,504,201706
2017/5/31,SPF,2408.75,2408.75,-1,-0.04%,1,2408.75,103,201709
2017/5/31,SPF,-,-,-,-,0,2406,0,201712
2017/5/31,SPF,-,-,-,-,0,2402,1,201803
2017/5/31,SPF,-,-,-,-,0,2397,1,201806
2017/6/1,SPF,2411.25,2413.25,2,0.08%,36,2413.25,488,201706
2017/6/1,SPF,2410.5,2410.5,1.75,0.07%,12,2410.5,96,201709
2017/6/1,SPF,-,-,-,-,0,2408,0,201712
2017/6/1,SPF,-,-,-,-,0,2404,1,201803
2017/6/1,SPF,-,-,-,-,0,2399,1,201806
2017/6/2,SPF,2432.75,2434.5,21.25,0.88%,19,2434.5,505,201706
2017/6/2,SPF,2429,2432.25,21.75,0.90%,8,2432.25,104,201709
2017/6/2,SPF,-,-,-,-,0,2429.25,1,201712
2017/6/2,SPF,-,-,-,-,0,2425.25,1,201803
2017/6/2,SPF,-,-,-,-,0,2420.25,1,201806
2017/6/3,SPF,2438,2436.5,2,0.08%,11,2436.5,495,201706
2017/6/3,SPF,2433,2433.75,1.5,0.06%,4,2433.75,94,201709
2017/6/3,SPF,-,-,-,-,0,2431.25,1,201712
2017/6/3,SPF,-,-,-,-,0,2427.25,1,201803
2017/6/3,SPF,-,-,-,-,0,2422.25,1,201806
2017/6/5,SPF,2434,2435.75,-0.75,-0.03%,6,2435.75,492,201706
2017/6/5,SPF,2432.5,2432.75,-1,-0.04%,2,2432.75,94,201709
2017/6/5,SPF,-,-,-,-,0,2430.5,1,201712
2017/6/5,SPF,-,-,-,-,0,2426.5,1,201803
2017/6/5,SPF,-,-,-,-,0,2421.5,1,201806
2017/6/6,SPF,2434.5,2432,-3.75,-0.15%,23,2432,479,201706
2017/6/6,SPF,2430.25,2429.75,-3,-0.12%,24,2429.75,72,201709
2017/6/6,SPF,-,-,-,-,0,2426.75,1,201712
2017/6/6,SPF,-,-,-,-,0,2422.75,1,201803
2017/6/6,SPF,-,-,-,-,0,2417.75,1,201806
2017/6/7,SPF,2433,2432,0,0.00%,9,2432,483,201706
2017/6/7,SPF,2428.25,2430.25,0.5,0.02%,9,2430.25,80,201709
2017/6/7,SPF,-,-,-,-,0,2426.75,1,201712
2017/6/7,SPF,-,-,-,-,0,2422.75,1,201803
2017/6/7,SPF,-,-,-,-,0,2417.75,1,201806
2017/6/8,SPF,2432,2432.5,0.5,0.02%,12,2432.5,485,201706
2017/6/8,SPF,2430.5,2431.25,1,0.04%,16,2431.25,79,201709
2017/6/8,SPF,-,-,-,-,0,2427.25,1,201712
2017/6/8,SPF,-,-,-,-,0,2423.25,1,201803
2017/6/8,SPF,-,-,-,-,0,2418.25,1,201806
2017/6/9,SPF,2430.5,2433.5,1,0.04%,121,2433.5,503,201706
2017/6/9,SPF,2428,2431.5,0.25,0.01%,71,2431.5,98,201709
2017/6/9,SPF,2424.25,2424.25,-3,-0.12%,3,2427.75,3,201712
2017/6/9,SPF,2415.25,2415.25,-8,-0.33%,3,2422.75,3,201803
2017/6/9,SPF,2424.5,2424.5,6.25,0.26%,1,2424.5,0,201806
2017/6/12,SPF,2429,2427.25,-6.25,-0.26%,66,2427.25,467,201706
2017/6/12,SPF,2426.75,2424.75,-6.75,-0.28%,41,2424.75,92,201709
2017/6/12,SPF,-,-,-,-,0,2421.5,3,201712
2017/6/12,SPF,2419,2419,-3.75,-0.15%,1,2419,4,201803
2017/6/12,SPF,-,-,-,-,0,2418.25,0,201806
2017/6/13,SPF,2427.25,2432.25,5,0.21%,31,2432.25,463,201706
2017/6/13,SPF,2429.25,2429.5,4.75,0.20%,15,2429.5,106,201709
2017/6/13,SPF,2425,2425,3.5,0.14%,1,2426.5,4,201712
2017/6/13,SPF,2419,2420,1,0.04%,5,2424,9,201803
2017/6/13,SPF,-,-,-,-,0,2423.25,0,201806
2017/6/14,SPF,2439.75,2437.75,5.5,0.23%,40,2437.75,478,201706
2017/6/14,SPF,2436.75,2435.5,6,0.25%,33,2435.5,122,201709
2017/6/14,SPF,2426,2428,1.5,0.06%,12,2432,16,201712
2017/6/14,SPF,2424,2423.5,-0.5,-0.02%,5,2429.5,14,201803
2017/6/14,SPF,2423,2423,-0.25,-0.01%,2,2428.75,2,201806
2017/6/15,SPF,2434,2431.75,-6,-0.25%,51,2431.75,438,201706
