trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2017/5/15,SPF,2389,2391.25,1.25,0.05%,471,2391.25,37,201706
2017/5/15,SPF,-,-,-,-,0,2387.25,0,201806
2017/5/16,SPF,2399.5,2397.25,6,0.25%,179,2397.25,58,201706
2017/5/16,SPF,-,-,-,-,0,2393.25,0,201806
2017/5/17,SPF,2388.75,2384,-13.25,-0.55%,79,2384,103,201706
2017/5/17,SPF,-,-,-,-,0,2380,0,201806
2017/5/18,SPF,2358.5,2361.5,-22.5,-0.94%,260,2361.5,254,201706
2017/5/18,SPF,2332.75,2332.75,-47.25,-1.99%,1,2347.25,1,201806
2017/5/19,SPF,2364,2364,2.5,0.11%,45,2364,293,201706
2017/5/19,SPF,-,-,-,-,0,2349.75,1,201806
2017/5/22,SPF,2380,2383.75,19.75,0.84%,24,2383.75,328,201706
2017/5/22,SPF,-,-,-,-,0,2369.5,1,201806
2017/5/23,SPF,2389.75,2389.5,5.75,0.24%,21,2389.5,369,201706
2017/5/23,SPF,-,-,-,-,0,2375.25,1,201806
2017/5/24,SPF,2395.75,2396,6.5,0.27%,16,2396,402,201706
2017/5/24,SPF,-,-,-,-,0,2381.75,1,201806
2017/5/25,SPF,2404,2410,14,0.58%,166,2410,485,201706
2017/5/25,SPF,-,-,-,-,0,2395.75,1,201806
2017/5/26,SPF,2416.5,2411.5,1.5,0.06%,27,2411.5,483,201706
2017/5/26,SPF,-,-,-,-,0,2397.25,1,201806
2017/5/31,SPF,2412,2411.25,-0.25,-0.01%,41,2411.25,504,201706
2017/5/31,SPF,-,-,-,-,0,2397,1,201806
2017/6/1,SPF,2411.25,2413.25,2,0.08%,36,2413.25,488,201706
2017/6/1,SPF,-,-,-,-,0,2399,1,201806
2017/6/2,SPF,2432.75,2434.5,21.25,0.88%,19,2434.5,505,201706
2017/6/2,SPF,-,-,-,-,0,2420.25,1,201806
2017/6/3,SPF,2438,2436.5,2,0.08%,11,2436.5,495,201706
2017/6/3,SPF,-,-,-,-,0,2422.25,1,201806
2017/6/5,SPF,2434,2435.75,-0.75,-0.03%,6,2435.75,492,201706
2017/6/5,SPF,-,-,-,-,0,2421.5,1,201806
2017/6/6,SPF,2434.5,2432,-3.75,-0.15%,23,2432,479,201706
2017/6/6,SPF,-,-,-,-,0,2417.75,1,201806
2017/6/7,SPF,2433,2432,0,0.00%,9,2432,483,201706
2017/6/7,SPF,-,-,-,-,0,2417.75,1,201806
2017/6/8,SPF,2432,2432.5,0.5,0.02%,12,2432.5,485,201706
2017/6/8,SPF,-,-,-,-,0,2418.25,1,201806
2017/6/9,SPF,2430.5,2433.5,1,0.04%,121,2433.5,503,201706
2017/6/9,SPF,2424.5,2424.5,6.25,0.26%,1,2424.5,0,201806
2017/6/12,SPF,2429,2427.25,-6.25,-0.26%,66,2427.25,467,201706
2017/6/12,SPF,-,-,-,-,0,2418.25,0,201806
2017/6/13,SPF,2427.25,2432.25,5,0.21%,31,2432.25,463,201706
2017/6/13,SPF,-,-,-,-,0,2423.25,0,201806
2017/6/14,SPF,2439.75,2437.75,5.5,0.23%,40,2437.75,478,201706
