trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2017/5/15,SPF,-,-,-,-,0,2386.25,0,201803
2017/5/16,SPF,-,-,-,-,0,2392.25,0,201803
2017/5/17,SPF,-,-,-,-,0,2379,0,201803
2017/5/18,SPF,2342.75,2342.75,-36.25,-1.52%,1,2352.25,1,201803
2017/5/19,SPF,-,-,-,-,0,2354.75,1,201803
2017/5/22,SPF,-,-,-,-,0,2374.5,1,201803
2017/5/23,SPF,-,-,-,-,0,2380.25,1,201803
2017/5/24,SPF,-,-,-,-,0,2386.75,1,201803
2017/5/25,SPF,-,-,-,-,0,2400.75,1,201803
2017/5/26,SPF,-,-,-,-,0,2402.25,1,201803
2017/5/31,SPF,-,-,-,-,0,2402,1,201803
2017/6/1,SPF,-,-,-,-,0,2404,1,201803
2017/6/2,SPF,-,-,-,-,0,2425.25,1,201803
2017/6/3,SPF,-,-,-,-,0,2427.25,1,201803
2017/6/5,SPF,-,-,-,-,0,2426.5,1,201803
2017/6/6,SPF,-,-,-,-,0,2422.75,1,201803
2017/6/7,SPF,-,-,-,-,0,2422.75,1,201803
2017/6/8,SPF,-,-,-,-,0,2423.25,1,201803
2017/6/9,SPF,2415.25,2415.25,-8,-0.33%,3,2422.75,3,201803
2017/6/12,SPF,2419,2419,-3.75,-0.15%,1,2419,4,201803
2017/6/13,SPF,2419,2420,1,0.04%,5,2424,9,201803
2017/6/14,SPF,2424,2423.5,-0.5,-0.02%,5,2429.5,14,201803
2017/6/15,SPF,-,-,-,-,0,2423.5,14,201803
2017/6/16,SPF,-,-,-,-,0,2429.75,14,201803
2017/6/19,SPF,-,-,-,-,0,2431,14,201803
2017/6/20,SPF,-,-,-,-,0,2443.75,14,201803
2017/6/21,SPF,-,-,-,-,0,2429.75,14,201803
2017/6/22,SPF,-,-,-,-,0,2428,14,201803
2017/6/23,SPF,-,-,-,-,0,2429,14,201803
2017/6/26,SPF,-,-,-,-,0,2430.75,14,201803
2017/6/27,SPF,-,-,-,-,0,2430,14,201803
2017/6/28,SPF,-,-,-,-,0,2412.5,14,201803
2017/6/29,SPF,-,-,-,-,0,2437.5,14,201803
2017/6/30,SPF,2414,2414,-23.5,-0.96%,2,2414,14,201803
2017/7/3,SPF,-,-,-,-,0,2419.75,14,201803
2017/7/4,SPF,-,-,-,-,0,2417.25,14,201803
2017/7/5,SPF,-,-,-,-,0,2419.75,14,201803
2017/7/6,SPF,-,-,-,-,0,2420.25,14,201803
2017/7/7,SPF,-,-,-,-,0,2403,14,201803
2017/7/10,SPF,-,-,-,-,0,2421.25,7,201803
2017/7/11,SPF,-,-,-,-,0,2420.5,2,201803
2017/7/12,SPF,-,-,-,-,0,2416.75,2,201803
2017/7/13,SPF,-,-,-,-,0,2436.75,2,201803
2017/7/14,SPF,-,-,-,-,0,2438.75,2,201803
2017/7/17,SPF,-,-,-,-,0,2451,2,201803
2017/7/18,SPF,-,-,-,-,0,2450.25,1,201803
2017/7/19,SPF,-,-,-,-,0,2453.75,1,201803
2017/7/20,SPF,-,-,-,-,0,2464.5,1,201803
2017/7/21,SPF,-,-,-,-,0,2464.75,1,201803
2017/7/24,SPF,-,-,-,-,0,2459.25,1,201803
2017/7/25,SPF,-,-,-,-,0,2461.75,1,201803
2017/7/26,SPF,-,-,-,-,0,2467.25,1,201803
2017/7/27,SPF,-,-,-,-,0,2472,1,201803
2017/7/28,SPF,-,-,-,-,0,2458.25,1,201803
2017/7/31,SPF,-,-,-,-,0,2461.75,1,201803
2017/8/1,SPF,-,-,-,-,0,2467.25,1,201803
2017/8/2,SPF,-,-,-,-,0,2469.25,1,201803
2017/8/3,SPF,-,-,-,-,0,2465.25,1,201803
2017/8/4,SPF,-,-,-,-,0,2465,1,201803
2017/8/7,SPF,-,-,-,-,0,2470.75,1,201803
2017/8/8,SPF,-,-,-,-,0,2468.5,1,201803
2017/8/9,SPF,-,-,-,-,0,2459.75,1,201803
2017/8/10,SPF,-,-,-,-,0,2461,1,201803
2017/8/11,SPF,2434.75,2437.75,-23.25,-0.94%,3,2437.75,2,201803
2017/8/14,SPF,-,-,-,-,0,2450.5,2,201803
2017/8/15,SPF,-,-,-,-,0,2471.25,2,201803
2017/8/16,SPF,-,-,-,-,0,2465.25,2,201803
2017/8/17,SPF,-,-,-,-,0,2467.75,2,201803
2017/8/18,SPF,-,-,-,-,0,2431.5,2,201803
2017/8/21,SPF,-,-,-,-,0,2423,2,201803
2017/8/22,SPF,-,-,-,-,0,2431.5,2,201803
2017/8/23,SPF,-,-,-,-,0,2446,3,201803
2017/8/24,SPF,-,-,-,-,0,2437.5,3,201803
2017/8/25,SPF,-,-,-,-,0,2441,3,201803
2017/8/28,SPF,-,-,-,-,0,2437,3,201803
2017/8/29,SPF,-,-,-,-,0,2428.5,3,201803
2017/8/30,SPF,-,-,-,-,0,2447,3,201803
2017/8/31,SPF,-,-,-,-,0,2455,3,201803
2017/9/1,SPF,-,-,-,-,0,2468.5,3,201803
2017/9/4,SPF,-,-,-,-,0,2464,3,201803
2017/9/5,SPF,-,-,-,-,0,2467.25,3,201803
2017/9/6,SPF,-,-,-,-,0,2456.5,3,201803
2017/9/7,SPF,-,-,-,-,0,2458.25,3,201803
2017/9/8,SPF,-,-,-,-,0,2459.75,3,201803
2017/9/11,SPF,-,-,-,-,0,2471.5,3,201803
2017/9/12,SPF,-,-,-,-,0,2485.5,3,201803
2017/9/13,SPF,-,-,-,-,0,2491.75,3,201803
2017/9/14,SPF,-,-,-,-,0,2492,3,201803
2017/9/15,SPF,-,-,-,-,0,2493,3,201803
2017/9/18,SPF,2499.75,2501.5,8.5,0.34%,17,2501.5,14,201803
2017/9/19,SPF,2501.25,2501.5,0,0.00%,44,2501.5,36,201803
2017/9/20,SPF,-,-,-,-,0,2501.75,36,201803
2017/9/21,SPF,2503.5,2502.75,1,0.04%,22,2502.75,57,201803
2017/9/22,SPF,2494.5,2494,-8.75,-0.35%,66,2494,96,201803
2017/9/25,SPF,2497,2497,3,0.12%,1,2497,117,201803
2017/9/26,SPF,2493.25,2493.5,-3.5,-0.14%,43,2493.5,158,201803
2017/9/27,SPF,-,-,-,-,0,2496.25,158,201803
2017/9/28,SPF,-,-,-,-,0,2503.75,158,201803
2017/9/29,SPF,2505.5,2505.5,1.75,0.07%,1,2505.5,158,201803
2017/9/30,SPF,-,-,-,-,0,2517,162,201803
2017/10/2,SPF,2518.5,2518,1,0.04%,3,2518,162,201803
2017/10/3,SPF,-,-,-,-,0,2528,162,201803
