trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2017/5/15,SPF,2387.25,2388.25,0.25,0.01%,138,2388.25,8,201709
2017/5/16,SPF,2396.25,2395,6.75,0.28%,12,2395,22,201709
2017/5/17,SPF,2380.75,2380.75,-14.25,-0.59%,1,2380.75,24,201709
2017/5/18,SPF,2359.75,2359.25,-21.5,-0.90%,33,2359.25,53,201709
2017/5/19,SPF,2357,2359.5,0.25,0.01%,4,2361.25,54,201709
2017/5/22,SPF,2379.25,2380,18.75,0.79%,2,2380,55,201709
2017/5/23,SPF,2386.75,2386.75,6.75,0.28%,3,2386.75,58,201709
2017/5/24,SPF,-,-,-,-,0,2393.25,86,201709
2017/5/25,SPF,2400,2405.25,12,0.50%,57,2408.25,103,201709
2017/5/26,SPF,-,-,-,-,0,2409.75,103,201709
2017/5/31,SPF,2408.75,2408.75,-1,-0.04%,1,2408.75,103,201709
2017/6/1,SPF,2410.5,2410.5,1.75,0.07%,12,2410.5,96,201709
2017/6/2,SPF,2429,2432.25,21.75,0.90%,8,2432.25,104,201709
2017/6/3,SPF,2433,2433.75,1.5,0.06%,4,2433.75,94,201709
2017/6/5,SPF,2432.5,2432.75,-1,-0.04%,2,2432.75,94,201709
2017/6/6,SPF,2430.25,2429.75,-3,-0.12%,24,2429.75,72,201709
2017/6/7,SPF,2428.25,2430.25,0.5,0.02%,9,2430.25,80,201709
2017/6/8,SPF,2430.5,2431.25,1,0.04%,16,2431.25,79,201709
2017/6/9,SPF,2428,2431.5,0.25,0.01%,71,2431.5,98,201709
2017/6/12,SPF,2426.75,2424.75,-6.75,-0.28%,41,2424.75,92,201709
2017/6/13,SPF,2429.25,2429.5,4.75,0.20%,15,2429.5,106,201709
2017/6/14,SPF,2436.75,2435.5,6,0.25%,33,2435.5,122,201709
2017/6/15,SPF,2431.75,2430,-5.5,-0.23%,35,2430,148,201709
2017/6/16,SPF,2433.25,2435,5,0.21%,233,2435,356,201709
2017/6/19,SPF,2434,2436.25,1.25,0.05%,26,2436.25,456,201709
2017/6/19,SPF,-,-,-,-,0,2431.25,0,201809
2017/6/20,SPF,2449.75,2449,12.75,0.52%,23,2449,467,201709
2017/6/20,SPF,-,-,-,-,0,2444,0,201809
2017/6/21,SPF,2433,2435,-14,-0.57%,67,2435,507,201709
2017/6/21,SPF,-,-,-,-,0,2430,0,201809
2017/6/22,SPF,2431.25,2433.25,-1.75,-0.07%,41,2433.25,524,201709
2017/6/22,SPF,-,-,-,-,0,2428.25,0,201809
2017/6/23,SPF,2433.75,2434.25,1,0.04%,9,2434.25,521,201709
2017/6/23,SPF,-,-,-,-,0,2429.25,0,201809
2017/6/26,SPF,2434,2436,1.75,0.07%,20,2436,515,201709
2017/6/26,SPF,-,-,-,-,0,2431,0,201809
2017/6/27,SPF,2434.75,2435.25,-0.75,-0.03%,9,2435.25,509,201709
2017/6/27,SPF,-,-,-,-,0,2430.25,0,201809
2017/6/28,SPF,2419,2417.75,-17.5,-0.72%,79,2417.75,526,201709
2017/6/28,SPF,-,-,-,-,0,2412.75,0,201809
2017/6/29,SPF,2441,2442.75,25,1.03%,41,2442.75,559,201709
2017/6/29,SPF,-,-,-,-,0,2437.75,1,201809
2017/6/30,SPF,2418.5,2420.25,-22.5,-0.92%,24,2420.25,519,201709
2017/6/30,SPF,-,-,-,-,0,2415.25,1,201809
2017/7/3,SPF,2424.25,2426,5.75,0.24%,7,2426,512,201709
2017/7/3,SPF,-,-,-,-,0,2421,1,201809
2017/7/4,SPF,2426,2423.5,-2.5,-0.10%,20,2423.5,522,201709
2017/7/4,SPF,-,-,-,-,0,2418.5,1,201809
2017/7/5,SPF,2425.25,2426,2.5,0.10%,17,2426,531,201709
2017/7/5,SPF,-,-,-,-,0,2421,1,201809
2017/7/6,SPF,2428,2426.5,0.5,0.02%,8,2426.5,539,201709
2017/7/6,SPF,-,-,-,-,0,2421.5,1,201809
2017/7/7,SPF,2410.5,2409.25,-17.25,-0.71%,33,2409.25,517,201709
2017/7/7,SPF,-,-,-,-,0,2404.25,1,201809
2017/7/10,SPF,2425.75,2427.5,18.25,0.76%,34,2427.5,539,201709
2017/7/10,SPF,-,-,-,-,0,2422.5,1,201809
2017/7/11,SPF,2425,2426.75,-0.75,-0.03%,25,2426.75,523,201709
2017/7/11,SPF,-,-,-,-,0,2421.75,1,201809
2017/7/12,SPF,2424.25,2423,-3.75,-0.15%,17,2423,524,201709
2017/7/12,SPF,-,-,-,-,0,2418,1,201809
2017/7/13,SPF,2442,2443,20,0.83%,28,2443,430,201709
2017/7/13,SPF,-,-,-,-,0,2438,1,201809
2017/7/14,SPF,2445.75,2445,2,0.08%,24,2445,412,201709
2017/7/14,SPF,-,-,-,-,0,2440,1,201809
2017/7/17,SPF,2458,2457.25,12.25,0.50%,42,2457.25,400,201709
2017/7/17,SPF,-,-,-,-,0,2452.25,1,201809
2017/7/18,SPF,2457.75,2456.5,-0.75,-0.03%,45,2456.5,390,201709
2017/7/18,SPF,-,-,-,-,0,2451.5,2,201809
2017/7/19,SPF,2459,2460,3.5,0.14%,31,2460,381,201709
2017/7/19,SPF,2449.75,2449.75,-1.75,-0.07%,1,2449.75,1,201809
2017/7/20,SPF,2470.75,2470.75,10.75,0.44%,19,2470.75,598,201709
2017/7/20,SPF,-,-,-,-,0,2460.5,1,201809
2017/7/21,SPF,2471,2471,0.25,0.01%,44,2471,425,201709
